Customer,Product_ID,Order_ID,Units_Sold,Date_Purchased
Uncle Joe's Prep Shop,10006,1904,32,2022-01-01
Alex The Analyst Apocolype Preppers,10005,3966,68,2022-01-02
Apocolypse Preppers United,10004,7348,69,2022-01-03
Prep4Anything Prepping Store,10005,2409,48,2022-01-04
Uncle Joe's Prep Shop,10010,2045,70,2022-01-05
Alex The Analyst Apocolype Preppers,10008,9151,6,2022-01-06
Apocolypse Preppers United,10003,1065,59,2022-01-07
Prep4Anything Prepping Store,10003,3780,72,2022-01-08
Uncle Joe's Prep Shop,10001,1043,67,2022-01-09
Alex The Analyst Apocolype Preppers,10007,7075,7,2022-01-10
Apocolypse Preppers United,10001,6778,23,2022-01-11
Prep4Anything Prepping Store,10008,3572,56,2022-01-12
Uncle Joe's Prep Shop,10006,4033,51,2022-01-13
Alex The Analyst Apocolype Preppers,10005,2073,2,2022-01-14
Apocolypse Preppers United,10010,7333,45,2022-01-15
Prep4Anything Prepping Store,10005,3352,13,2022-01-16
Uncle Joe's Prep Shop,10003,2078,4,2022-01-17
Uncle Joe's Prep Shop,10005,7616,78,2022-01-18
Alex The Analyst Apocolype Preppers,10009,6762,70,2022-01-19
Apocolypse Preppers United,10005,4556,4,2022-01-20
Prep4Anything Prepping Store,10008,2659,73,2022-01-21
Uncle Joe's Prep Shop,10005,5020,30,2022-01-22
Alex The Analyst Apocolype Preppers,10009,3887,49,2022-01-23
Apocolypse Preppers United,10001,1341,66,2022-01-24
Prep4Anything Prepping Store,10006,8459,4,2022-01-25
Uncle Joe's Prep Shop,10001,7175,5,2022-01-26
Alex The Analyst Apocolype Preppers,10009,4267,71,2022-01-27
Apocolypse Preppers United,10007,1157,57,2022-01-28
Prep4Anything Prepping Store,10008,1753,9,2022-01-29
Uncle Joe's Prep Shop,10006,1913,16,2022-01-30
Uncle Joe's Prep Shop,10007,4133,46,2022-01-31
Uncle Joe's Prep Shop,10007,9562,50,2022-02-01
Alex The Analyst Apocolype Preppers,10008,3075,11,2022-02-02
Apocolypse Preppers United,10003,7854,66,2022-02-03
Prep4Anything Prepping Store,10005,9057,55,2022-02-04
Uncle Joe's Prep Shop,10002,5779,32,2022-02-05
Alex The Analyst Apocolype Preppers,10001,3587,48,2022-02-06
Apocolypse Preppers United,10007,3718,58,2022-02-07
Prep4Anything Prepping Store,10005,1875,19,2022-02-08
Uncle Joe's Prep Shop,10005,8526,54,2022-02-09
Alex The Analyst Apocolype Preppers,10010,7274,60,2022-02-10
Apocolypse Preppers United,10003,4500,19,2022-02-11
Prep4Anything Prepping Store,10004,3789,4,2022-02-12
Uncle Joe's Prep Shop,10010,3665,76,2022-02-13
Alex The Analyst Apocolype Preppers,10006,9760,26,2022-02-14
Apocolypse Preppers United,10003,5432,35,2022-02-15
Prep4Anything Prepping Store,10008,6035,67,2022-02-16
Uncle Joe's Prep Shop,10003,3522,27,2022-02-17
Alex The Analyst Apocolype Preppers,10007,9305,6,2022-02-18
Apocolypse Preppers United,10005,1436,41,2022-02-19
Prep4Anything Prepping Store,10008,9814,36,2022-02-20
Uncle Joe's Prep Shop,10008,8032,75,2022-02-21
Alex The Analyst Apocolype Preppers,10008,7580,32,2022-02-22
Apocolypse Preppers United,10003,5730,42,2022-02-23
Prep4Anything Prepping Store,10010,5818,5,2022-02-24
Uncle Joe's Prep Shop,10010,2462,10,2022-02-25
Alex The Analyst Apocolype Preppers,10001,5989,70,2022-02-26
Apocolypse Preppers United,10002,6153,45,2022-02-27
Prep4Anything Prepping Store,10006,4606,53,2022-02-28
Uncle Joe's Prep Shop,10010,2059,54,2022-03-01
Alex The Analyst Apocolype Preppers,10003,8063,26,2022-03-02
Apocolypse Preppers United,10005,4266,41,2022-03-03
Prep4Anything Prepping Store,10002,7615,54,2022-03-04
Uncle Joe's Prep Shop,10004,4859,55,2022-03-05
Apocolypse Preppers United,10001,7625,17,2022-03-06
Uncle Joe's Prep Shop,10004,9996,23,2022-03-07
Apocolypse Preppers United,10001,6646,48,2022-03-08
Alex The Analyst Apocolype Preppers,10004,8427,61,2022-03-09
Apocolypse Preppers United,10010,2923,23,2022-03-10
Prep4Anything Prepping Store,10007,6624,41,2022-03-11
Uncle Joe's Prep Shop,10009,4952,37,2022-03-12
Apocolypse Preppers United,10005,9881,24,2022-03-13
Uncle Joe's Prep Shop,10002,4464,59,2022-03-14
Apocolypse Preppers United,10001,2005,46,2022-03-15
